id;id_f;name;description;family_root;category_root;is_deleted
1;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;54561;82063;false
2;Investment Account parsing invoice;black;yellow;37725;1822;false
3;Generic;robust withdrawal generate;Garden open-source hybrid;11816;69289;false
4;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;25001;77641;false
5;user-centric Infrastructure;Managed Dobra application;Fantastic;90255;53432;false
6;Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;35490;31931;false
7;Quality Applications Missouri;Practical Gorgeous;knowledge user Danish Krone;75237;94619;false
8;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;68803;76151;false
9;Auto Loan Account Refined Practical;Centralized revolutionize International;Sleek;8483;23322;false
10;Maine PCI SAS;Interactions;Pennsylvania dynamic bandwidth;48166;77714;false
