id;id_f;name;description
1;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese
2;quantifying;synthesize Idaho Markets;Glen Refined
3;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu
4;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic
5;Credit Card Account Maryland Legacy;Product;Brand Regional Court
6;B2B Mouse;Junctions one-to-one;analyzing holistic
7;Architect;Beauty dynamic schemas;Pound Sterling Keyboard
8;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair
9;drive online;Liaison engage navigate;Assistant generating
10;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer
